read_core_id	polya_start_raw	polya_end_raw	polya_start_base	polya_end_base	polya_length	polya_score	polya_type
5048386a-f8b8-4034-84f7-0ba646cd5ec5,chr1,229019,230831	14305	14675	1470	1524	45.32	345.0	T
e4f32d6f-0378-491f-ada3-9dcebef15f88,chr1,675528,676107	2110	2120	61	61	1.11	10.0	T
afc126fc-689e-45c9-8bb1-483177f01359,chr1,787124,788541	16575	17215	1476	1530	69.66	640.0	A
931113b7-14b7-4f80-8518-04eff678d679,chr1,1242897,1243206	12480	12760	943	953	31.08	280.0	T
931113b7-14b7-4f80-8518-04eff678d679,chr1,1243294,1243415	12480	12645	943	952	18.31	165.0	T
50409d5f-7a20-4f31-b115-c94426bfb22d,chr1,2259117,2260072	4220	4245	354	354	2.49	25.0	A
8d84aae6-3371-4b97-9dd3-3970aa630d10,chr1,3670275,3671161	9420	11215	920	966	217.1	1595.0	A
0388e31c-7564-4f3f-9f57-fba7b7ebd459,chr1,4694389,4695345	14260	16085	1319	1321	200.37	1825.0	T
88c452fb-0761-49c0-b235-48a14060eddb,chr1,8070336,8071439	13990	14830	792	834	73.27	802.5	A
fcbbf776-49bc-4234-870a-1024a05cc2cb,chr1,8150249,8151585	0	0	0	0	0.0	0.0	A
b877abae-74e0-4ae4-af08-7e2a9643fc89,chr1,21085063,21085504	15625	15640	1528	1529	1.64	15.0	A
4ce76d0e-20e6-4045-a7b3-56042356e14a,chr1,22263671,22264407	905	1990	67	124	119.26	972.5	T
1d764798-44e1-4105-abc9-29fcbf530487,chr1,24266282,24267354	1060	1435	75	98	44.94	362.5	T
464be880-ec23-40d8-8fda-9adfd6e00724,chr1,24359429,24360069	9615	10840	754	822	138.14	1200.0	T
64c45a83-3674-4f0b-a1f4-4800793e7e9e,chr1,28661898,28663770	7960	8115	721	746	18.05	142.5	A
a00d223a-439d-4357-948b-290883718234,chr1,29808091,29809234	780	790	51	51	1.16	10.0	T
7bc9e411-a497-438f-a571-b637c840f02e,chr2,77012,77900	2235	2575	77	124	36.5	277.5	T
b056dc6b-9d41-4467-8dbc-b6be6c9cc504,chr2,201404,202296	20795	20815	1933	1934	2.22	20.0	T
27a1f392-e935-4d89-9fb0-b13e4c25caa2,chr2,210428,211931	1225	3055	74	90	203.43	1780.0	T
f808e594-0bf5-4fd7-881c-739d72e1fc6a,chr2,405887,409116	16390	16650	1533	1567	28.75	260.0	T
