read_core_id	read_align_strand	rna_strand	read_length	primer_type	genome_align_start	genome_align_end	primer_score	polyA_type	f_primer_type	f_primer_start	f_align_end	r_primer_type	r_primer_start	r_align_start
5048386a-f8b8-4034-84f7-0ba646cd5ec5,chr1,229019,230831	-	+	3102	R-F	1535	3056	1	T	R	6	1437	F	1	3057
e4f32d6f-0378-491f-ada3-9dcebef15f88,chr1,675528,676107	+	-	2432	UF-F	58	632	4	T	UF	2	56	F	1	626
afc126fc-689e-45c9-8bb1-483177f01359,chr1,787124,788541	+	+	3378	F-R	61	1475	1	A	F	1	59	R	1	1554
931113b7-14b7-4f80-8518-04eff678d679,chr1,1242897,1243206	+	-	1415	R-F	1065	1377	1	T	R	3	911	F	1	1372
931113b7-14b7-4f80-8518-04eff678d679,chr1,1243294,1243415	+	-	1415	R-F	943	1063	1	T	R	3	911	F	1	1372
50409d5f-7a20-4f31-b115-c94426bfb22d,chr1,2259117,2260072	+	+	687	F-F	52	356	5	A	F	1	61	F	1	357
8d84aae6-3371-4b97-9dd3-3970aa630d10,chr1,3670275,3671161	-	-	1693	F-R	60	922	1	A	F	1	58	R	1	992
0388e31c-7564-4f3f-9f57-fba7b7ebd459,chr1,4694389,4695345	+	-	2444	UF-F	1439	2395	4	T	UF	6	57	F	1	2403
88c452fb-0761-49c0-b235-48a14060eddb,chr1,8070336,8071439	+	+	1871	F-R	57	791	1	A	F	1	57	R	1	861
fcbbf776-49bc-4234-870a-1024a05cc2cb,chr1,8150249,8151585	-	-	2873	F-N	1816	2873	5	A	F	1	1815	N	-1	2852
b877abae-74e0-4ae4-af08-7e2a9643fc89,chr1,21085063,21085504	+	+	1576	F-F	1103	1533	5	A	F	1	57	F	1	1532
4ce76d0e-20e6-4045-a7b3-56042356e14a,chr1,22263671,22264407	-	+	2271	R-F	125	844	1	T	R	1	49	F	1	845
1d764798-44e1-4105-abc9-29fcbf530487,chr1,24266282,24267354	+	-	2514	R-F	91	1147	1	T	R	1	49	F	1	1149
464be880-ec23-40d8-8fda-9adfd6e00724,chr1,24359429,24360069	-	+	1466	UF-F	815	1445	4	T	UF	2	55	F	1	1447
64c45a83-3674-4f0b-a1f4-4800793e7e9e,chr1,28661898,28663770	+	+	1391	UF-R	49	721	2	A	UF	2	57	R	1	775
a00d223a-439d-4357-948b-290883718234,chr1,29808091,29809234	+	-	2563	UF-F	52	1191	4	T	UF	7	52	F	1	1192
7bc9e411-a497-438f-a571-b637c840f02e,chr2,77012,77900	-	+	2498	R-F	119	1006	1	T	R	1	49	F	1	1007
b056dc6b-9d41-4467-8dbc-b6be6c9cc504,chr2,201404,202296	-	+	2663	UF-F	1925	2617	4	T	UF	7	1920	F	1	2617
27a1f392-e935-4d89-9fb0-b13e4c25caa2,chr2,210428,211931	-	+	2008	R-F	90	1009	1	T	R	1	49	F	1	1010
f808e594-0bf5-4fd7-881c-739d72e1fc6a,chr2,405887,409116	-	+	3271	R-UF	1565	3244	2	T	R	7	1503	UF	3	3253
2a7ed32c-093f-4d90-bf82-08cdd1bfd389,chr2,1645808,1646322	-	-	1891	F-UF	1529	1839	4	A	F	1	56	UF	2	1849
d60b75fd-effd-4de6-9d09-aba29452fdb3,chr2,6649608,6650504	+	-	2250	R-F	1377	2218	1	T	R	1	50	F	1	2207
3c5e5f2a-cb9f-43b5-945a-8f50b9448fec,chr2,6743656,6744815	+	-	2156	R-F	977	2113	1	T	R	2	893	F	1	2114
ad25627c-1499-4787-999a-6a8cf45e673e,chr2,7995743,7997192	+	-	2894	R-F	1497	2848	1	T	R	3	1457	F	1	2849
7feae721-189d-4bed-9765-f1066881141e,chr2,11547811,11548286	-	+	1281	R-F	780	1245	1	T	R	1	729	F	1	1241
46a52f04-a8d7-484b-a9ea-63683f7fde91,chr2,11636389,11636785	-	+	1711	N-N	72	447	5	T	N	-1	93	N	-1	426
e7e85c6b-9a60-43ac-ad19-68884a78061b,chr2,12380270,12380740	+	+	2038	UF-R	61	531	2	A	UF	5	53	R	1	610
9991b334-16d9-4d4e-a1c9-4c74dfeb0c13,chr2,13256223,13256821	-	+	1146	F-F	50	640	5	T	F	1	56	F	1	641
21c68b76-3369-457e-bad0-84710ce6e02f,chr2,13524244,13528480	+	+	5206	F-F	1535	5166	5	A	F	1	1516	F	1	5163
a995f6b3-063c-4f4c-a1ef-9e36f4c3c2de,chr2,13867072,13868921	+	+	2272	F-F	68	1152	5	A	F	1	58	F	1	1145
514c060b-2e44-4a5f-b2dd-4ebec1483c64,chr2,14194113,14195559	-	+	3363	R-F	1447	2175	1	T	R	1	52	F	1	2177
a280fe97-6603-4fb3-af3d-81fcab577de9,chr2,14203600,14204570	+	-	2207	R-F	1367	2163	1	T	R	1	1268	F	1	2164
cbae53ee-10a0-4098-9ff2-98a68e948cf4,chr2,15279145,15280564	-	+	4160	R-F	1318	2086	1	T	R	5	1270	F	1	2086
97d96fd0-2992-4527-81f1-a63f8f5f341e,chr2,15944776,15946510	+	+	2354	F-F	584	2313	5	A	F	1	58	F	1	2311
466a3d02-979b-4fd7-82ef-9dbe1266d5bd,chr2,16085055,16086161	+	+	2650	F-R	1778	2546	1	A	F	1	1777	R	1	2610
ab67ac95-a73e-4105-811b-70d7bac2f6de,chr2,16578846,16581115	-	-	2939	UF-R	1526	2848	2	A	UF	7	1514	R	1	2903
cf736468-14ae-4a31-af29-b3fcf4c9d528,chr2,16785209,16786184	+	+	1970	F-F	1110	1931	5	A	F	1	1106	F	1	1927
d6a7d3ff-a2c8-4411-8433-5ceff9f76b11,chr2,17476387,17476893	+	+	1368	UF-R	1020	1306	2	A	UF	2	56	R	1	1332
d114cac6-1791-4d3f-8605-3e5ed3128eaf,chr2,17945774,17946250	+	+	917	F-N	414	878	5	A	F	1	413	N	-1	857
0fdc3277-20f8-49da-a389-27cccc90bf60,chr2,17946180,17946323	+	+	536	F-F	358	498	5	A	F	1	59	F	1	497
616cd522-964b-44d0-b183-35030740c07d,chr2,17948260,17948677	+	-	906	N-F	29	440	5	T	N	-1	50	F	1	428
1c578393-5ebb-4952-bad1-effa97858b8e,chr2,17962764,17963722	+	+	2038	F-R	57	738	1	A	F	1	57	R	1	782
04e02ad1-be99-4b3d-9c1d-028f801796ce,chr2,18132677,18133970	-	+	2833	R-F	1496	2788	1	T	R	1	1457	F	1	2790
cdadbb91-cf70-472e-bd82-91094f9783c9,chr2,18138377,18140994	+	+	3347	N-R	61	1843	2	A	N	-1	82	R	1	1898
3db731de-4e99-4179-ae9f-28a75f895184,chr2,18258613,18261435	-	+	4367	R-F	2660	4326	1	T	R	1	2584	F	1	4328
8670e6a2-76f4-4328-b869-afa1b89b9469,chr2,18911197,18911914	+	+	1389	UF-R	766	1302	2	A	UF	10	763	R	1	1356
88c57f29-124b-4bc8-a8b2-d5fe9b66dcbc,chr3,362307,363266	-	+	2284	R-F	146	777	1	T	R	1	49	F	1	778
c3187973-c607-4281-a1a0-d0e62eb91be1,chr3,3727275,3727687	+	+	755	F-R	267	674	1	A	F	1	58	R	1	720
d046f2d8-c2b4-4794-afd9-a9ffcdb911ff,chr3,3727275,3727687	-	+	748	R-F	86	498	1	T	R	1	48	F	1	702
289ce97d-b7cb-4f78-b52a-bedf6765d8cd,chr3,4143758,4145684	-	+	2930	UF-UF	1503	2886	4	T	UF	15	1488	UF	10	2896
7aa056a7-0da5-4809-be81-ccdc46e387c9,chr3,6466073,6466422	+	-	1284	N-UF	59	405	5	T	N	-1	80	UF	8	1247
6d631096-21bd-4514-9984-dc53a1e3e8b8,chr3,6474912,6477116	+	+	1756	F-R	60	1652	1	A	F	1	58	R	1	1723
98c8049d-86f3-49f8-8a44-7d4b8930c48f,chr3,6475936,6482518	-	+	2685	F-F	1595	2640	5	T	F	1	57	F	1	2641
a08da745-eccd-4da9-a92b-1888d3730d70,chr3,6488865,6488965	+	-	575	R-F	98	198	1	T	R	1	46	F	1	529
2bc680f1-f58f-4051-812c-2cdf182ef67e,chr3,6488865,6488965	-	-	545	F-R	387	487	1	A	F	1	55	R	1	512
afd9dedb-bb61-4adc-b772-a6950aaa9c64,chr3,6488865,6488965	-	-	592	F-R	392	492	1	A	F	1	60	R	1	549
a14f75ba-01a2-4b38-ba1b-3ea19bf7e746,chr3,6509584,6510647	+	+	850	F-R	70	773	1	A	F	1	64	R	1	814
d60b75fd-effd-4de6-9d09-aba29452fdb3,chr3,6546116,6557938	+	-	2250	R-F	72	1325	1	T	R	1	50	F	1	1326
2ac55287-b90d-4bc5-be1f-8c6200381397,chr3,6546116,6557938	-	-	1449	N-R	60	1392	2	A	N	-1	81	R	1	1411
653223ae-a156-4dcd-be8c-bea5eb5aaab5,chr3,6546116,6557938	-	-	1433	F-R	59	1377	1	A	F	1	58	R	1	1398
947a0a98-4503-4e3d-bf17-3cb8c68fd540,chr3,6546116,6557937	-	-	1446	UF-R	61	1391	2	A	UF	15	42	R	1	1410
eb756bfa-6d52-4d29-b0ed-45e74f2d243a,chr3,6546116,6557933	-	-	1440	N-R	64	1389	2	A	N	-1	85	R	1	1406
ee240e53-43a3-4170-906e-55b46c7dff78,chr3,6546119,6556289	+	-	262	R-R	76	200	5	T	R	1	51	R	1	227
efe8657f-9b1e-4158-8b4e-d70c8839a169,chr3,6547965,6557938	+	-	1843	R-F	97	1797	1	T	R	1	46	F	1	1799
40535c78-5bb0-467f-8051-1ec956e77ee1,chr3,6552010,6564419	+	-	613	R-F	65	571	1	T	R	2	49	F	1	572
877fb5fc-24fd-40d7-ab22-2c6ae1212ea9,chr3,6552010,6564419	+	-	614	R-F	66	572	1	T	R	8	41	F	1	573
5b1f5488-724c-4da6-84e8-106c1eb1eaab,chr3,6552010,6564419	-	-	591	F-R	61	538	1	A	F	1	60	R	1	552
b2091371-53b3-4c1e-b1a1-48b1ea116057,chr3,6552010,6564419	-	-	581	UF-R	60	529	2	A	UF	13	46	R	1	545
